stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\programming\Projekt_ALGO\Visual Studio\problem\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.43864] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43885] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43943] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.44050] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.44062] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.44101] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.44128] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.44142] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.44164] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.44239] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.44317] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.44398] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.44433] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.44482] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.44505] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.44549] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.44666] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.44711] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.44741] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.44769] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.44796] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.44824] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.44860] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.45020] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.45051] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.45111] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.45135] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.45172] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.45440] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.45474] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.45500] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.45531] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.45560] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.45590] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.45761] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.45834] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.45868] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.45892] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.45928] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.45980] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46023] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.46068] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46097] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.46141] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46155] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.46236] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46256] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.46284] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46309] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.46338] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46361] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.46394] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46416] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.46446] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46468] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.46497] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46519] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.46546] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46564] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.46592] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46615] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.46640] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46659] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.46685] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46708] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.46733] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46751] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.46813] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46837] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.46866] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.46893] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.46914] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.46942] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.46971] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.46997] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47013] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.47041] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47073] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.47098] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47114] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.47138] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.47153] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.47178] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.47207] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.47230] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47295] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.47308] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47333] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.47351] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47376] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.47397] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.47422] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.47440] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.47475] Score is : 769
